Gene_ID,Gene_Name,Nutrient,Impact_on_Gene,Interaction_Type,Expression_Level,Daily_Intake_mg,Risk_Score,Population
GENE3143,TCF7L2,Vitamin D,Downregulation,Enhances,Variable,41.81,6.56,General
GENE5291,APOA1,Omega-3,Upregulation,Neutral,High,50.02,7.87,General
GENE3647,SOD2,Vitamin D,Downregulation,Neutral,High,20.56,4.86,African American
GENE8239,APOA1,Selenium,No effect,Reduces,High,26.5,6.66,General
GENE8007,SOD2,Selenium,Downregulation,Enhances,Moderate,43.82,5.3,Asian
GENE1158,APOA1,Omega-3,No effect,Enhances,Variable,97.04,5.48,Asian
GENE2832,SOD2,Zinc,No effect,Neutral,Moderate,92.92,4.58,African American
GENE2232,APOA1,Omega-3,Upregulation,Enhances,High,95.27,5.67,Caucasian
GENE3442,TCF7L2,Vitamin D,Downregulation,Neutral,High,26.14,8.98,General
GENE9938,GPX1,Omega-3,Downregulation,Neutral,Moderate,68.78,3.06,Asian
GENE1590,SOD2,Zinc,No effect,Enhances,High,24.27,7.89,Asian
GENE7049,GPX1,Folate,Downregulation,Reduces,Moderate,24.43,2.27,Asian
GENE3426,SOD2,Omega-3,Upregulation,Neutral,High,21.82,3.72,Asian
GENE8041,SOD2,Zinc,No effect,Enhances,Variable,95.7,2.88,General
GENE3088,TCF7L2,Folate,No effect,Reduces,High,46.73,8.46,Caucasian
GENE1685,APOA1,Zinc,Upregulation,Reduces,Variable,63.62,1.48,General
GENE6050,SOD2,Zinc,Upregulation,Reduces,Moderate,70.35,2.84,General
GENE6974,APOA1,Folate,Upregulation,Reduces,Moderate,87.34,9.56,African American
GENE1653,TCF7L2,Omega-3,Downregulation,Enhances,Variable,89.32,6.19,Asian
GENE6862,MTHFR,Folate,Upregulation,Enhances,Variable,45.62,1.61,Asian
GENE4441,GPX1,Omega-3,Upregulation,Enhances,Variable,78.74,5.35,Caucasian
GENE5088,SOD2,Zinc,No effect,Enhances,Moderate,62.75,1.82,Caucasian
GENE2684,TCF7L2,Omega-3,Downregulation,Reduces,Variable,83.31,1.75,African American
GENE6794,APOA1,Selenium,No effect,Reduces,Variable,73.42,7.08,African American
GENE7658,SOD2,Folate,No effect,Neutral,High,42.44,9.05,African American
GENE3532,APOA1,Folate,Upregulation,Reduces,High,94.22,7.94,Asian
GENE4878,MTHFR,Vitamin D,Downregulation,Reduces,Variable,59.33,1.61,Asian
GENE3662,SOD2,Zinc,Upregulation,Neutral,Moderate,55.94,1.17,Caucasian
GENE3900,GPX1,Zinc,No effect,Enhances,Moderate,65.93,9.94,Caucasian
GENE7755,SOD2,Omega-3,Downregulation,Enhances,High,71.89,5.75,African American
GENE1406,GPX1,Selenium,No effect,Enhances,High,8.66,4.41,General
GENE3938,APOA1,Zinc,No effect,Enhances,Variable,15.39,3.7,Caucasian
GENE6442,SOD2,Selenium,Downregulation,Enhances,Variable,48.41,2.05,Asian
GENE7745,TCF7L2,Vitamin D,Upregulation,Neutral,Moderate,88.39,7.07,Caucasian
GENE5065,TCF7L2,Folate,Upregulation,Neutral,High,88.39,6.66,Asian
GENE5371,MTHFR,Selenium,No effect,Enhances,High,28.34,9.78,General
GENE3608,TCF7L2,Zinc,Upregulation,Reduces,Variable,56.1,1.48,African American
GENE2771,MTHFR,Folate,Downregulation,Reduces,Variable,98.46,4.48,African American
GENE7267,APOA1,Selenium,Downregulation,Reduces,Variable,8.73,9.75,African American
GENE1634,GPX1,Selenium,Upregulation,Neutral,Variable,41.8,5.34,Caucasian
GENE8711,APOA1,Omega-3,Upregulation,Reduces,High,77.69,1.21,African American
GENE4644,GPX1,Folate,No effect,Neutral,Variable,96.45,0.25,Asian
GENE4269,GPX1,Selenium,Downregulation,Enhances,High,23.04,9.31,Caucasian
GENE8541,MTHFR,Omega-3,Upregulation,Reduces,Variable,46.76,7.69,Caucasian
GENE6728,TCF7L2,Zinc,Upregulation,Reduces,High,89.02,9.48,General
GENE6000,TCF7L2,Selenium,Upregulation,Enhances,Moderate,78.5,9.28,General
GENE4728,MTHFR,Omega-3,No effect,Enhances,High,32.16,1.56,Caucasian
GENE4652,MTHFR,Omega-3,Downregulation,Reduces,Variable,20.82,9.7,Caucasian
GENE1387,APOA1,Folate,No effect,Reduces,High,32.97,5.46,Caucasian
GENE4164,MTHFR,Omega-3,Downregulation,Reduces,High,92.31,5.07,Caucasian
GENE7528,TCF7L2,Selenium,Downregulation,Reduces,High,70.55,6.47,Caucasian
GENE6378,MTHFR,Vitamin D,No effect,Reduces,Moderate,90.85,2.96,Asian
GENE5564,MTHFR,Zinc,Upregulation,Neutral,Moderate,49.04,8.96,Caucasian
GENE2137,GPX1,Selenium,No effect,Reduces,Moderate,66.38,9.7,Asian
GENE5573,MTHFR,Selenium,Upregulation,Reduces,Variable,13.59,7.54,African American
GENE6753,APOA1,Zinc,No effect,Neutral,Moderate,52.56,9.94,Asian
GENE9346,MTHFR,Zinc,Upregulation,Enhances,Moderate,22.08,6.67,African American
GENE7548,SOD2,Omega-3,No effect,Enhances,Variable,60.62,8.0,General
GENE9785,SOD2,Selenium,Downregulation,Enhances,High,89.96,7.29,General
GENE6425,GPX1,Omega-3,Upregulation,Neutral,Variable,56.91,9.22,Caucasian
GENE1452,GPX1,Folate,No effect,Neutral,High,42.34,3.39,Asian
GENE2889,SOD2,Omega-3,No effect,Enhances,Variable,35.73,1.12,African American
GENE5279,GPX1,Folate,Upregulation,Enhances,Variable,7.37,4.79,African American
GENE3925,GPX1,Vitamin D,Downregulation,Enhances,High,48.1,0.4,Asian
GENE5349,TCF7L2,Selenium,No effect,Reduces,High,90.18,6.78,Caucasian
GENE1626,TCF7L2,Folate,Upregulation,Neutral,Variable,90.1,1.17,Asian
GENE2776,MTHFR,Vitamin D,Upregulation,Reduces,Moderate,88.84,0.25,General
GENE8119,SOD2,Zinc,Downregulation,Neutral,Variable,13.57,6.18,General
GENE6663,APOA1,Omega-3,Downregulation,Neutral,Variable,35.79,2.2,Caucasian
GENE6139,SOD2,Vitamin D,Downregulation,Reduces,Variable,66.61,3.57,Asian
GENE8149,SOD2,Folate,Downregulation,Enhances,Moderate,72.59,3.26,General
GENE9379,TCF7L2,Selenium,No effect,Neutral,Moderate,20.58,6.08,African American
GENE2894,TCF7L2,Zinc,No effect,Reduces,Moderate,74.66,1.95,African American
GENE7311,GPX1,Zinc,Downregulation,Reduces,High,13.66,5.26,Asian
GENE4114,APOA1,Vitamin D,Downregulation,Neutral,Variable,72.09,7.81,Caucasian
GENE5173,TCF7L2,Vitamin D,Downregulation,Enhances,High,65.24,7.67,African American
GENE1727,GPX1,Omega-3,Downregulation,Neutral,Moderate,13.1,1.96,African American
GENE8144,APOA1,Zinc,Upregulation,Neutral,Moderate,72.19,0.84,General
GENE1027,TCF7L2,Zinc,Upregulation,Enhances,Variable,74.05,8.49,African American
GENE9518,SOD2,Omega-3,Upregulation,Reduces,High,97.64,6.77,Asian
GENE9821,SOD2,Selenium,Upregulation,Reduces,Moderate,63.15,9.58,Asian
GENE4228,APOA1,Omega-3,No effect,Enhances,High,20.19,9.76,General
GENE6967,APOA1,Folate,Upregulation,Reduces,Moderate,57.28,3.94,Asian
GENE8066,TCF7L2,Folate,Upregulation,Reduces,Variable,9.17,4.9,Asian
GENE2146,TCF7L2,Vitamin D,Upregulation,Enhances,High,21.23,6.03,General
GENE6409,APOA1,Omega-3,Upregulation,Enhances,Variable,36.84,5.12,General
GENE6143,APOA1,Omega-3,Downregulation,Reduces,High,87.77,0.56,General
GENE3041,GPX1,Vitamin D,Downregulation,Neutral,Variable,86.95,6.67,General
GENE5920,GPX1,Selenium,Downregulation,Reduces,Moderate,20.4,3.98,African American
GENE9308,GPX1,Omega-3,Downregulation,Enhances,Moderate,18.74,7.16,Caucasian
GENE6067,SOD2,Zinc,Upregulation,Neutral,High,78.07,4.28,General
GENE7691,SOD2,Omega-3,No effect,Neutral,Variable,9.87,3.86,Asian
GENE6344,GPX1,Selenium,Downregulation,Neutral,Moderate,34.27,0.12,Caucasian
GENE7592,GPX1,Omega-3,Upregulation,Neutral,Variable,74.37,3.45,Caucasian
GENE5844,APOA1,Zinc,Downregulation,Neutral,Variable,96.29,3.08,Caucasian
GENE3085,SOD2,Folate,Downregulation,Neutral,Moderate,32.43,4.46,African American
GENE4143,GPX1,Folate,Downregulation,Neutral,Variable,22.17,5.61,African American
GENE7888,MTHFR,Selenium,Downregulation,Enhances,Moderate,90.36,2.16,General
GENE7211,TCF7L2,Selenium,Upregulation,Neutral,Moderate,96.24,8.88,Asian
GENE3851,GPX1,Zinc,Upregulation,Reduces,Variable,5.34,7.42,General
GENE5930,SOD2,Folate,Upregulation,Neutral,Moderate,77.71,4.16,Caucasian
GENE7653,GPX1,Folate,No effect,Neutral,High,6.16,4.43,General
GENE9977,MTHFR,Folate,Downregulation,Neutral,Moderate,52.27,1.64,Caucasian
GENE1006,APOA1,Folate,No effect,Neutral,Moderate,52.37,7.28,Asian
GENE5978,SOD2,Zinc,No effect,Neutral,Variable,81.71,8.98,Caucasian
GENE5700,APOA1,Selenium,No effect,Enhances,Moderate,62.76,7.29,African American
GENE4443,TCF7L2,Selenium,Upregulation,Reduces,Variable,51.88,4.14,General
GENE8043,APOA1,Vitamin D,Upregulation,Neutral,High,25.6,8.36,General
GENE6279,GPX1,Selenium,Downregulation,Neutral,Moderate,67.65,5.98,African American
GENE8618,MTHFR,Folate,Upregulation,Enhances,High,48.11,1.44,African American
GENE8238,APOA1,Omega-3,Upregulation,Reduces,Moderate,46.98,3.03,African American
GENE8244,MTHFR,Folate,No effect,Reduces,High,62.12,9.88,Caucasian
GENE4501,SOD2,Folate,Upregulation,Neutral,Moderate,5.62,5.25,African American
GENE9375,SOD2,Selenium,Downregulation,Neutral,Variable,88.81,3.35,Asian
GENE8752,GPX1,Vitamin D,Downregulation,Neutral,High,31.42,9.33,General
GENE3780,GPX1,Zinc,No effect,Reduces,Variable,64.72,5.91,General
GENE2389,GPX1,Omega-3,Upregulation,Enhances,Variable,82.91,3.76,Asian
GENE5649,MTHFR,Omega-3,No effect,Neutral,High,24.73,0.07,General
GENE9445,TCF7L2,Vitamin D,Downregulation,Neutral,Moderate,22.56,6.39,African American
GENE6491,TCF7L2,Folate,Downregulation,Enhances,Moderate,10.23,2.73,General
GENE2530,TCF7L2,Zinc,Upregulation,Enhances,Moderate,38.16,1.75,Asian
GENE4848,SOD2,Zinc,Upregulation,Neutral,Variable,18.81,4.62,African American
GENE6085,SOD2,Zinc,Downregulation,Enhances,Variable,8.08,5.68,Caucasian
GENE4680,TCF7L2,Selenium,Downregulation,Neutral,High,59.92,9.15,Caucasian
GENE4262,GPX1,Folate,No effect,Reduces,Variable,62.31,1.99,African American
GENE3414,APOA1,Omega-3,No effect,Reduces,Moderate,36.46,8.32,General
GENE1400,TCF7L2,Omega-3,No effect,Enhances,High,13.33,2.89,Asian
GENE1757,APOA1,Folate,Upregulation,Enhances,Moderate,15.34,4.91,African American
GENE5011,TCF7L2,Omega-3,Upregulation,Reduces,High,99.4,8.23,Asian
GENE8784,APOA1,Selenium,Downregulation,Reduces,Moderate,20.33,3.02,Caucasian
GENE2193,GPX1,Zinc,Upregulation,Enhances,Variable,32.02,5.85,African American
GENE8461,SOD2,Omega-3,Upregulation,Reduces,Variable,67.79,4.94,African American
GENE7790,TCF7L2,Selenium,Upregulation,Reduces,Moderate,71.49,7.4,Asian
GENE4185,TCF7L2,Zinc,Upregulation,Enhances,High,59.37,2.25,Caucasian
GENE7291,GPX1,Folate,Upregulation,Neutral,Variable,58.41,7.91,Caucasian
GENE9099,MTHFR,Folate,Upregulation,Enhances,High,96.8,1.54,African American
GENE7547,TCF7L2,Selenium,Upregulation,Neutral,Moderate,76.19,3.0,Asian
GENE4997,APOA1,Selenium,Upregulation,Neutral,Moderate,39.22,6.41,African American
GENE3417,GPX1,Selenium,Downregulation,Reduces,Moderate,8.4,6.37,General
GENE1090,MTHFR,Omega-3,Downregulation,Reduces,High,78.01,1.24,Caucasian
GENE2746,TCF7L2,Folate,No effect,Enhances,Variable,35.67,6.66,Caucasian
GENE7965,TCF7L2,Omega-3,No effect,Enhances,Moderate,90.27,2.88,African American
GENE4585,SOD2,Omega-3,No effect,Reduces,High,82.93,1.79,African American
GENE3881,MTHFR,Zinc,Upregulation,Reduces,Variable,77.05,9.07,African American
GENE9486,GPX1,Selenium,No effect,Neutral,Variable,85.11,6.45,Caucasian
GENE8611,APOA1,Omega-3,No effect,Reduces,High,11.17,0.28,Caucasian
GENE1822,TCF7L2,Zinc,Downregulation,Enhances,Moderate,49.73,7.65,Caucasian
GENE5082,GPX1,Vitamin D,Upregulation,Reduces,Variable,16.59,4.93,General
GENE2988,SOD2,Zinc,Upregulation,Reduces,High,86.64,9.71,African American
GENE8478,TCF7L2,Vitamin D,Upregulation,Reduces,High,36.27,5.99,Caucasian
GENE3184,MTHFR,Vitamin D,Upregulation,Enhances,Variable,44.31,3.62,General
GENE8612,GPX1,Vitamin D,No effect,Reduces,High,24.94,4.8,African American
GENE9702,APOA1,Vitamin D,Downregulation,Neutral,Moderate,24.86,4.36,Asian
GENE6198,SOD2,Selenium,Upregulation,Neutral,High,10.53,2.58,Asian
GENE8251,GPX1,Omega-3,Upregulation,Enhances,High,59.28,6.86,African American
GENE9270,TCF7L2,Omega-3,Downregulation,Enhances,High,98.04,9.74,African American
GENE7991,APOA1,Vitamin D,Upregulation,Reduces,High,55.25,8.18,African American
GENE9976,TCF7L2,Omega-3,Upregulation,Reduces,Variable,13.33,3.73,Asian
GENE8305,TCF7L2,Vitamin D,Downregulation,Enhances,Moderate,73.79,7.33,General
GENE3607,MTHFR,Omega-3,Upregulation,Neutral,High,62.45,0.18,Asian
GENE8777,MTHFR,Zinc,Upregulation,Neutral,High,79.88,2.6,Caucasian
GENE8373,TCF7L2,Selenium,No effect,Enhances,High,72.15,5.82,African American
GENE5246,SOD2,Folate,Downregulation,Enhances,High,45.57,1.46,Asian
GENE5050,MTHFR,Vitamin D,No effect,Neutral,Variable,85.54,4.61,African American
GENE5543,MTHFR,Zinc,Downregulation,Neutral,Variable,29.67,6.93,General
GENE9540,MTHFR,Zinc,Downregulation,Neutral,Moderate,59.64,3.57,Caucasian
GENE8939,MTHFR,Selenium,Upregulation,Reduces,Variable,64.21,0.53,Asian
GENE4919,APOA1,Selenium,Downregulation,Neutral,High,93.08,3.61,General
GENE5499,TCF7L2,Vitamin D,No effect,Neutral,Variable,63.36,6.36,General
GENE8206,APOA1,Vitamin D,Downregulation,Enhances,High,52.16,9.55,Caucasian
GENE2269,GPX1,Zinc,Upregulation,Neutral,Moderate,74.27,0.49,Caucasian
GENE5681,GPX1,Zinc,Downregulation,Neutral,Moderate,52.29,2.92,Caucasian
GENE4841,GPX1,Selenium,Upregulation,Reduces,Variable,81.76,6.39,General
GENE5451,APOA1,Vitamin D,Upregulation,Reduces,Moderate,88.95,0.77,Asian
GENE6502,TCF7L2,Vitamin D,Downregulation,Reduces,Moderate,27.11,1.94,General
GENE6238,GPX1,Zinc,Downregulation,Enhances,Variable,32.6,6.28,Asian
GENE9849,MTHFR,Folate,Downregulation,Enhances,Moderate,23.39,7.65,General
GENE2320,GPX1,Zinc,Upregulation,Reduces,Moderate,16.23,5.99,Caucasian
GENE3267,SOD2,Folate,Upregulation,Reduces,High,49.16,1.67,African American
GENE3471,MTHFR,Vitamin D,No effect,Neutral,Variable,80.69,3.23,General
GENE4788,MTHFR,Zinc,No effect,Neutral,Moderate,75.06,3.16,General
GENE7275,MTHFR,Selenium,No effect,Neutral,Moderate,24.7,8.45,African American
GENE3503,GPX1,Omega-3,Upregulation,Reduces,High,63.45,8.0,General
GENE4505,MTHFR,Vitamin D,No effect,Neutral,Variable,44.39,2.71,General
GENE2052,SOD2,Vitamin D,Downregulation,Neutral,High,9.32,6.98,General
GENE7797,APOA1,Zinc,Downregulation,Reduces,High,38.22,3.63,General
GENE7678,SOD2,Omega-3,Downregulation,Neutral,Variable,81.57,5.34,General
GENE6421,TCF7L2,Omega-3,No effect,Reduces,Moderate,25.17,3.52,Asian
GENE9890,MTHFR,Omega-3,Downregulation,Enhances,Moderate,65.86,1.44,Asian
GENE8633,SOD2,Zinc,Upregulation,Enhances,Variable,70.55,1.37,Asian
GENE7812,GPX1,Zinc,Upregulation,Neutral,High,29.17,2.81,General
GENE2020,TCF7L2,Folate,Downregulation,Enhances,Variable,11.44,7.79,General
GENE4388,SOD2,Folate,Downregulation,Enhances,Moderate,33.53,4.12,Asian
GENE7883,MTHFR,Folate,Upregulation,Reduces,Moderate,57.25,9.21,Caucasian
GENE7381,GPX1,Selenium,Downregulation,Reduces,Variable,77.87,1.63,Asian
GENE1320,MTHFR,Vitamin D,Upregulation,Neutral,High,15.81,2.18,General
GENE7232,TCF7L2,Folate,No effect,Reduces,Moderate,36.66,5.03,General
GENE8814,SOD2,Selenium,No effect,Neutral,High,42.62,8.32,Caucasian
GENE1096,MTHFR,Selenium,Upregulation,Neutral,Variable,59.05,7.95,Asian
GENE6763,TCF7L2,Zinc,No effect,Reduces,Variable,96.21,5.59,African American
GENE5892,GPX1,Omega-3,No effect,Neutral,Moderate,84.04,6.9,Caucasian
GENE7389,SOD2,Omega-3,Upregulation,Enhances,Moderate,23.43,9.52,General
GENE7865,SOD2,Folate,Downregulation,Enhances,Variable,84.21,8.46,Caucasian
GENE9818,TCF7L2,Vitamin D,No effect,Enhances,High,92.62,7.13,Caucasian
GENE9947,SOD2,Vitamin D,Downregulation,Reduces,High,50.52,7.02,African American
GENE4613,GPX1,Vitamin D,Downregulation,Enhances,Variable,50.08,8.03,African American
GENE8999,GPX1,Selenium,No effect,Neutral,High,8.38,4.17,Caucasian
GENE4595,SOD2,Selenium,Downregulation,Neutral,Moderate,17.9,9.16,Asian
GENE5471,MTHFR,Selenium,Downregulation,Neutral,Variable,19.76,1.17,Caucasian
GENE8140,MTHFR,Zinc,No effect,Reduces,High,48.76,1.31,African American
GENE8956,GPX1,Selenium,No effect,Enhances,Moderate,87.2,0.17,African American
GENE1475,MTHFR,Vitamin D,Downregulation,Reduces,Moderate,90.11,3.48,African American
GENE7371,TCF7L2,Vitamin D,Downregulation,Neutral,Variable,48.93,6.91,African American
GENE6507,APOA1,Omega-3,Downregulation,Enhances,Moderate,82.35,1.39,African American
GENE7624,SOD2,Vitamin D,Upregulation,Enhances,High,93.14,4.42,General
GENE3704,TCF7L2,Selenium,Upregulation,Enhances,Variable,10.32,9.88,Caucasian
GENE8657,GPX1,Selenium,Downregulation,Reduces,Moderate,54.5,5.23,Asian
GENE3091,APOA1,Folate,No effect,Enhances,High,58.67,9.7,Asian
GENE9751,GPX1,Zinc,Upregulation,Reduces,Moderate,69.43,1.72,General
GENE1441,APOA1,Vitamin D,Upregulation,Enhances,Moderate,57.74,3.05,Caucasian
GENE7455,TCF7L2,Zinc,Downregulation,Neutral,Variable,6.78,7.44,African American
GENE1444,APOA1,Vitamin D,Upregulation,Reduces,Moderate,59.85,1.19,African American
GENE2375,MTHFR,Omega-3,Downregulation,Enhances,Moderate,36.51,1.29,Asian
GENE8022,TCF7L2,Omega-3,No effect,Reduces,High,92.04,6.94,Asian
GENE3223,SOD2,Zinc,Downregulation,Enhances,Moderate,80.6,6.88,General
GENE8564,GPX1,Selenium,No effect,Neutral,Moderate,11.29,3.07,Caucasian
GENE3977,MTHFR,Folate,Upregulation,Neutral,High,19.18,2.1,Caucasian
GENE1823,SOD2,Vitamin D,Upregulation,Neutral,Moderate,84.87,9.81,African American
GENE5262,APOA1,Vitamin D,Upregulation,Enhances,Variable,37.22,4.25,Caucasian
GENE7211,MTHFR,Folate,Upregulation,Reduces,Moderate,40.65,7.63,Caucasian
GENE6363,SOD2,Zinc,No effect,Reduces,Moderate,55.76,1.12,General
GENE4467,TCF7L2,Zinc,Upregulation,Neutral,Moderate,20.77,0.19,General
GENE8449,APOA1,Vitamin D,Downregulation,Neutral,Moderate,62.54,4.84,African American
GENE6355,SOD2,Omega-3,No effect,Neutral,Moderate,22.8,4.31,General
GENE6529,APOA1,Folate,No effect,Enhances,High,16.1,1.96,African American
GENE7211,SOD2,Vitamin D,Upregulation,Reduces,Variable,79.32,0.33,General
GENE5558,GPX1,Omega-3,Upregulation,Enhances,High,34.29,6.6,General
GENE7906,TCF7L2,Zinc,No effect,Neutral,Variable,86.49,5.93,Asian
GENE5133,MTHFR,Omega-3,Downregulation,Neutral,Variable,72.43,4.69,Asian
GENE2341,SOD2,Selenium,Downregulation,Enhances,High,30.79,9.09,General
GENE8705,APOA1,Vitamin D,Upregulation,Neutral,High,13.25,0.43,General
GENE1317,TCF7L2,Folate,Upregulation,Reduces,Variable,88.32,3.02,General
GENE9837,MTHFR,Omega-3,Upregulation,Neutral,Moderate,40.3,0.1,Asian
GENE1853,APOA1,Zinc,No effect,Reduces,High,83.8,0.97,African American
GENE6733,TCF7L2,Omega-3,Downregulation,Neutral,Variable,33.75,1.24,Caucasian
GENE4673,APOA1,Zinc,No effect,Enhances,Moderate,54.88,6.02,General
GENE2124,TCF7L2,Selenium,No effect,Neutral,Moderate,21.63,5.88,General
GENE1659,MTHFR,Zinc,Downregulation,Neutral,High,40.55,2.0,Asian
GENE1508,MTHFR,Folate,No effect,Enhances,High,8.55,6.71,General
GENE5051,APOA1,Selenium,Upregulation,Neutral,Variable,24.2,0.29,African American
GENE4266,TCF7L2,Omega-3,No effect,Enhances,High,13.8,1.46,Caucasian
GENE1333,SOD2,Vitamin D,No effect,Enhances,Moderate,53.07,7.46,General
GENE3496,MTHFR,Zinc,Downregulation,Reduces,High,80.91,2.77,African American
GENE4908,SOD2,Folate,No effect,Neutral,High,90.97,5.8,Caucasian
GENE3068,SOD2,Vitamin D,No effect,Neutral,Moderate,19.64,3.52,Asian
GENE8758,GPX1,Vitamin D,Upregulation,Neutral,Moderate,37.31,8.55,Caucasian
GENE2874,APOA1,Selenium,No effect,Reduces,High,50.93,7.81,African American
GENE4571,APOA1,Omega-3,Upregulation,Neutral,Variable,88.02,6.13,Caucasian
GENE8619,APOA1,Vitamin D,Downregulation,Reduces,Variable,34.48,5.05,Caucasian
GENE5198,TCF7L2,Folate,No effect,Reduces,Variable,36.1,0.68,Asian
GENE7043,MTHFR,Zinc,Downregulation,Neutral,Variable,78.1,8.2,Caucasian
GENE3749,MTHFR,Zinc,Upregulation,Neutral,Moderate,14.33,7.63,Asian
GENE2876,GPX1,Zinc,Downregulation,Enhances,Moderate,98.32,5.29,General
GENE3683,GPX1,Selenium,Upregulation,Reduces,Moderate,54.03,7.16,Caucasian
GENE6096,GPX1,Folate,Upregulation,Reduces,Moderate,99.31,9.64,Caucasian
GENE2771,SOD2,Vitamin D,Upregulation,Reduces,Variable,24.49,1.72,Asian
GENE1420,APOA1,Folate,Upregulation,Reduces,Variable,8.47,7.54,Caucasian
GENE6111,TCF7L2,Selenium,No effect,Reduces,High,41.82,0.04,African American
GENE7149,MTHFR,Selenium,Upregulation,Enhances,Moderate,87.16,7.25,Asian
GENE7498,TCF7L2,Omega-3,Upregulation,Enhances,High,16.0,9.24,Asian
GENE4249,APOA1,Folate,No effect,Reduces,Variable,34.54,9.2,General
GENE2245,APOA1,Zinc,Downregulation,Neutral,High,9.18,8.51,Caucasian
GENE4978,MTHFR,Selenium,Upregulation,Neutral,High,85.57,4.75,African American
GENE2669,SOD2,Selenium,Downregulation,Neutral,High,87.83,6.98,General
GENE5941,GPX1,Omega-3,No effect,Neutral,Moderate,36.66,1.85,Caucasian
GENE2983,SOD2,Zinc,Upregulation,Reduces,Moderate,89.47,6.74,General
GENE1672,APOA1,Selenium,Upregulation,Neutral,Variable,14.79,1.07,Caucasian
GENE6688,APOA1,Vitamin D,Downregulation,Neutral,High,77.79,8.35,African American
GENE9728,SOD2,Zinc,No effect,Reduces,Moderate,75.83,9.81,General
GENE8018,GPX1,Folate,Upregulation,Neutral,Variable,7.14,4.24,Asian
GENE7071,GPX1,Omega-3,Downregulation,Neutral,Moderate,77.06,5.14,General
GENE2129,APOA1,Vitamin D,Upregulation,Neutral,Moderate,65.69,4.08,Caucasian
GENE9289,GPX1,Vitamin D,Upregulation,Neutral,Moderate,24.94,7.61,African American
GENE6590,GPX1,Folate,Upregulation,Enhances,Moderate,24.05,3.14,General
GENE1207,MTHFR,Omega-3,No effect,Enhances,Variable,32.22,4.66,African American
GENE7882,MTHFR,Selenium,No effect,Enhances,Variable,55.57,5.2,Caucasian
GENE9031,TCF7L2,Omega-3,Upregulation,Neutral,Moderate,78.41,4.96,Caucasian
GENE2729,SOD2,Selenium,Upregulation,Neutral,Moderate,68.76,3.61,Caucasian
GENE8102,APOA1,Folate,No effect,Reduces,High,30.9,2.88,Asian
GENE6934,GPX1,Folate,Downregulation,Neutral,Moderate,19.96,7.22,African American
GENE8532,TCF7L2,Vitamin D,Upregulation,Reduces,High,15.87,0.82,Asian
GENE3506,MTHFR,Vitamin D,Downregulation,Neutral,Moderate,96.04,4.94,Asian
GENE8135,GPX1,Vitamin D,No effect,Enhances,Variable,58.16,3.85,African American
GENE3885,SOD2,Folate,No effect,Neutral,Variable,14.73,4.57,Caucasian
GENE9548,MTHFR,Selenium,Downregulation,Neutral,High,56.54,7.36,Asian
GENE5425,APOA1,Folate,No effect,Enhances,Variable,57.19,6.87,African American
GENE9817,GPX1,Folate,Upregulation,Neutral,Variable,30.75,8.41,General
GENE8921,TCF7L2,Vitamin D,Downregulation,Neutral,Variable,94.61,2.26,Asian
GENE8616,APOA1,Omega-3,Downregulation,Neutral,Variable,81.38,4.07,Caucasian
GENE8136,GPX1,Vitamin D,Downregulation,Neutral,Variable,59.54,9.85,African American
GENE5397,GPX1,Omega-3,Upregulation,Reduces,High,21.27,4.28,Asian
GENE6280,GPX1,Selenium,Upregulation,Neutral,Moderate,34.58,8.57,Caucasian
GENE5022,GPX1,Selenium,No effect,Enhances,Moderate,89.76,8.95,Caucasian
GENE2419,GPX1,Zinc,Downregulation,Reduces,Moderate,56.35,8.02,African American
GENE5569,APOA1,Zinc,No effect,Neutral,Variable,9.82,9.39,General
GENE8385,SOD2,Zinc,Downregulation,Reduces,Variable,7.75,3.67,Caucasian
GENE4995,SOD2,Selenium,No effect,Neutral,Moderate,90.81,0.13,African American
GENE8613,APOA1,Vitamin D,Downregulation,Neutral,Variable,9.79,6.74,Asian
GENE7209,SOD2,Vitamin D,Upregulation,Neutral,Moderate,41.44,6.72,General
GENE6511,TCF7L2,Vitamin D,No effect,Neutral,High,13.18,3.96,African American
GENE1470,TCF7L2,Folate,No effect,Reduces,Moderate,42.23,5.23,African American
GENE9098,APOA1,Zinc,No effect,Neutral,Variable,71.94,6.77,General
GENE6325,TCF7L2,Vitamin D,No effect,Neutral,Moderate,89.67,1.19,Caucasian
GENE3979,APOA1,Zinc,Downregulation,Neutral,Moderate,64.8,3.95,Caucasian
GENE8988,TCF7L2,Zinc,Upregulation,Reduces,Variable,70.56,6.95,Asian
GENE4475,MTHFR,Folate,No effect,Reduces,High,47.35,9.78,Asian
GENE6813,APOA1,Selenium,No effect,Enhances,High,38.78,7.41,Asian
GENE5232,GPX1,Vitamin D,Upregulation,Neutral,Variable,36.57,8.92,General
GENE6576,TCF7L2,Folate,Downregulation,Enhances,Moderate,23.82,1.69,General
GENE5581,MTHFR,Selenium,Downregulation,Enhances,Moderate,77.05,3.64,Caucasian
GENE5526,APOA1,Selenium,No effect,Reduces,Variable,81.88,1.99,African American
GENE1166,TCF7L2,Vitamin D,No effect,Enhances,Variable,12.46,2.0,Caucasian
GENE9464,GPX1,Zinc,Downregulation,Enhances,Variable,92.66,8.44,African American
GENE4130,TCF7L2,Omega-3,Upregulation,Neutral,Moderate,77.62,4.04,General
